source_id,title,year,authors,doi,methods
sunghandford2006,Songs of the Savannah Sparrow: structure and geographic variation,2006,"Sung, Ha-Cheol and Handford, Paul",10.1139/Z06-159,variation between neighbouring populations
mann2007,Calf inspections of fish catches in bottlenose dolphins (<i>Tursiops</i> sp.):: Opportunities for oblique social learning?,2007,"Mann, Janet and Sargeant, Brooke L. and Minor, Matthew",10.1111/j.1748-7692.2006.00087.x,traced transmission from informed to naive individuals between generations
baker2003,Rapid evolution of a novel song and an increase in repertoire size in an island population of an Australian songbird,2003,"Baker, MC and Baker, MSA and Baker, EM",10.1046/j.1474-919X.2003.00190.x,"tracking spread of natural innovation, observation"
gonzalez2014,Acoustic Divergence with Gene Flow in a Lekking Hummingbird with Complex Songs,2014,"Gonzalez, Clementina and Francisco Ornelas, Juan",10.1371/journal.pone.0109241,geographic variation
yamakoshi2011,Pestle-Pounding Behavior: The Key to the Coexistence of Humans and Chimpanzees,2011,"Yamakoshi, Gen",10.1007/978-4-431-53921-6_11,"tracking spread of natural innovation, observation"
robin2011,Singing in the sky: song variation in an endemic bird on the sky islands of southern India,2011,"Robin, V. V. and Katti, Madhusudan and Purushotham, Chetana and Sancheti, Aditi and Sinha, Anindya",10.1016/j.anbehav.2011.05.032,NA
estok2010,"Great tits search for, capture, kill and eat hibernating bats",2010,"Estok, Peter and Zsebok, Sandor and Siemers, Bjoern M.",10.1098/rsbl.2009.0611,NA
foote2008,Variation in call pitch among killer whale ecotypes,2008,"Foote, Andrew D. and Nystuen, Jeffrey A.",10.1121/1.2836752,geographic variation
parsons2009,The social dynamics of southern resident killer whales and conservation implications for this endangered population,2009,"Parsons, K. M. and Balcomb, K. C., III and Ford, J. K. B. and Durban, J. W.",10.1016/j.anbehav.2009.01.018,NA
giles2024,"Harassment and killing of porpoises (""phocoenacide"") by fish-eating Southern Resident killer whales (<i>Orcinus orca</i>)",2024,"Giles, Deborah A. and Teman, Sarah J. and Ellis, Samuel and Ford, John K. B. and Shields, Monika W. and Hanson, M. Bradley and Emmons, Candice K. and Cottrell, Paul E. and Baird, Robin W. and Osborne, Richard W. and Weiss, Michael and Ellifrit, David K. and Olson, Jennifer K. and Towers, Jared R. and Ellis, Graeme and Matkin, Dena and Smith, Courtney E. and Raverty, Stephen A. and Norman, Stephanie A. and Gaydos, Joseph K.",10.1111/mms.13073,"tracking spread of natural innovation, observation"
souhat2021,Stereotyped Whistles in Southern Resident Killer Whales,2021,"Souhaut, Marie, and Monika W. Shields.",10.7717/peerj.12085.,stable variation between overlapping/neighbouring groups
riesch2006,"Stability and group specificity of stereotyped whistles in resident killer whales, Orcinus orca, off British Columbia",2006,"Riesch, Rüdiger, John K.B. Ford, and Frank Thomsen",10.1016/j.anbehav.2005.03.026,stable variation between overlapping/neighbouring groups
riesch2011,Whistle communication in mammal-eating killer whales (Orcinus orca): further evidence for acoustic divergence between ecotypes,2011,"Riesch, Rüdiger, and Volker B. Deecke",10.1007/s00265-011-1148-8,NA
deecke2005,The Vocal Behaviour of Mammal-Eating Killer Whales: Communicating with Costly Calls,2005,"Deecke, Volker B., John K.B. Ford, and Peter J.B. Slater",10.1016/j.anbehav.2004.04.014.,NA
peterson2023,Unsupervised discovery of family specific vocal usage in the Mongolian gerbil,2024,"Peterson, Ralph E and Choudhri, Aman and MItelut, Catalin and Tanelus, Aramis and Capo-Battaglia, Athena and Williams, Alex H and Schneider, David M and Sanes, Dan H",10.7554/eLife.89892,variation between groups in lab setting
trainer1989,Cultural Evolution in Song Dialects of Yellow‐rumped Caciques in Panama,1989,"Trainer, Jill M.",10.1111/j.1439-0310.1989.tb00739.x,tracking spread of natural innovation
noske2003,"Sexual differences in the foraging behaviour of Crested Shrike-tits, <i>Falcunculus frontatus</i>, during winter",2003,"Noske, Richard A.",10.1071/MU03021,NA
jenkins1978,CULTURAL TRANSMISSION OF SONG PATTERNS AND DIALECT DEVELOPMENT IN A FREE-LIVING BIRD POPULATION,1978,"JENKINS, PF",10.1016/0003-3472(78)90007-6,NA
madden2004,Local traditions of bower decoration by spotted bowerbirds in a single population,2004,"Madden, JR and Lowe, TJ and Fuller, HV and Dasmahapatra, KK and Coe, RL",10.1016/j.anbehav.2003.12.007,variation between neighbouring populations
cerchio2001,"Temporal and geographical variation in songs of humpback whales, <i>Megaptera novaeangliae</i>:: synchronous change in Hawaiian and Mexican breeding assemblages",2001,"Cerchio, S and Jacobsen, JK and Norris, TF",10.1006/anbe.2001.1747,"identification of geographic variation and similarities in change over time, hypothesize non-cultural or partially cultural drivers of change"
darling2019,"Convergence and Divergence of Songs Suggests Ongoing, but Annually Variable, Mixing of Humpback Whale Populations throughout the North Pacific",2019,"Darling, James D., Jo Marie V. Acebes, Oscar Frey, R. Jorge Urbán, and Manami Yamaguchi.",10.1038/s41598-019-42233-7,variation between neighbouring populations
enggist2002,"Cultural transmission of vocalizations in ravens, <i>Corvus corax</i>",2002,"Enggist-Dueblin, P and Pfister, U",10.1006/anbe.2002.2016,NA
szipl2017,Calls during Agonistic Interactions Vary with Arousal and Raise Audience Attention in Ravens,2017,"Szipl, Georgine, Eva Ringler, Michela Spreafico, and Thomas Bugnyar.",10.1186/s12983-017-0244-7,NA
castellote2011,Fin whale (Balaenoptera physalus) population identity in the western Mediterranean Sea,2011,"Manuel Castellote, Christopher W. Clark, Marc O. Lammers",10.1111/j.1748-7692.2011.00491.x,NA
