group_id,group_name,species_id,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long
700070,Papallacta sparrows,Zonotrichia_capensis,not searched,not searched,not searched,not searched,not searched,not searched,"Papallacta, Ecuador",moore2005,-0.377,-78.141
700071,Pennsylvania elk group,Cervus_canadensis,not searched,not searched,not searched,not searched,not searched,not searched,"Elk County, Pennsylvania",nelsonreinier2023,41.428,-78.566
700072,Plus-One clan,Physeter_macrocephalus,1,not searched,not searched,"""Presumably the numerical sizes of the clans vary accordingly, with the Plus-one clan containing considerably fewer than my rough average of 20000 animals"" (Whitehead 2024)",,whitehead2024,off Galápagos Islands and Ecuador,whitehead2024,-0.902,-85.254
700073,Presidio dialect white-crowned sparrows,Zonotrichia_leucophrys_nuttalli,not searched,not searched,not searched,not searched,not searched,not searched,"Presidio, San Francisco",luther2010,37.792,-122.481
700074,R-type killer whales,Orcinus_orca,4,Orcinus_orca,not searched,not searched,not searched,not searched,"Gulf of Alaska, Aleutian Islands, Bering Sea; northern North Pacific",fearnbach2014,54.06,-164.343
700075,Ramat-Aviv high dialect sunbirds,Cinnyris_osea,not searched,not searched,21,"""33% (21 territorial males), singing the high dialect""",,,"Ramat-Aviv neighborhood, Israel",leader2005,32.107,34.796
700076,Ramat-Aviv low dialect sunbirds,Cinnyris_osea,not searched,not searched,37,"""60% of the males (37 territorial males), all singing the low dialect, inhabiting one area""",,,"Ramat-Aviv neighborhood, Israel",leader2005,32.107,34.796
700077,Regular clan,Physeter_macrocephalus,1,not searched,not searched,not searched,not searched,not searched,off Galápagos Islands,whitehead2024,-0.793,-88.68
700078,Resident Commander Islands beaked whales,Berardius_bairdii,not searched,not searched,not searched,not searched,not searched,not searched,"southwest coast of Bering Island, Commander Islands, ""about 175 km (109 mi) east of the Kamchatka Peninsula. Geologically they comprise the westernmost part of the Aleutian Islands""",filatova2024,54.781,166.424
700079,Rodman cacique colony,Cacicus_cela_vitellinus,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"Rodman, Panama",trainer1989,8.947,-79.583
700080,Rottnest Island Gerygones,Gerygone_fusca,not searched,not searched,not searched,not searched,not searched,not searched,"Rottnest Island, Indian Ocean",baker2003,-31.997,115.54
700081,Samburu elephant population,Loxodonta_africana,3,not searched,not searched,not searched,not searched,not searched,"Samburu and Buffalo Springs National Reserves, Kenya",pardo2024,0.525,37.591
700082,San Francisco dialect white-crowned sparrows,Zonotrichia_leucophrys_nuttalli,not searched,not searched,not searched,not searched,not searched,not searched,"Golden Gate Park, San Francisco",luther2010,37.768,-122.467
700083,Santa Rosa capuchins,Cebus_capucinus,not searched,not searched,18,about 18 individuals,,panger2002,"Santa Rosa National Park [10° 45–11° 00N, 85° 30–85° 45]",panger2002,10.884,-85.775
700084,Santa Rosa spider monkeys,Ateles_geoffroyi,not searched,not searched,27,"""The Santa Rosa community consisted of 27–30 individuals"" (Santorelli et al. 2011)",2007,santorelli2011,"Santa Rosa National Park, Area de Conservacion Guanacaste, Costa Rica",santorelli2011,10.839,-85.618
700085,Shark Bay dolphins,Tursiops_aduncus,not searched,not searched,not searched,not searched,not searched,not searched,"Eastern Gulf of Shark Bay, Western Australia 113°45′E, 25°48′S",krutzen2005,-25.783,113.299
700086,South group Taï chimpanzees,Pan_troglodytes_verus,not searched,Taï chimpanzees,53,"53 in 1999; severe decline in 2000s due to disease, recovery with immigration from 2010",1999,wittig2017,Taï National Park in Côte d'Ivoire,lunczboesch2014,5.69,-6.939
700087,Southern Hemisphere Group V,Megaptera_novaeangliae,not searched,not searched,not searched,not searched,not searched,not searched,"Vava'u island cluster, Hunga, Nua Papu around Tonga",eriksen2005,-18.623,-173.99
700088,Southern Resident killer whales,Orcinus_orca,3,R-type killer whales,74,"""The SRKW population currently consists of 74 individual whales [14] and is comprised of three largely matrilineal groups, referred to as pods with alphabetic identifications (i.e., J, K and L;)"" (Parsons et al. 2009)",2009,parsons2009,"Salish Sea ""range along the west coast of North America from southeastern Alaska to California with critical habitat that includes the Salish Sea"" (Giles et al. 2024)",giles2024,48.252,-123.748
700089,Southern theme Savannah sparrows,Passerculus_sandwichensis,not searched,not searched,not searched,not searched,not searched,not searched,"London, western Ontario",sunghandford2006,43.01,-81.274
700090,Southern vulture population,Gyps_fulvus,not searched,not searched,not searched,not searched,not searched,not searched,southern Spain,arrondo2023,40.464,-3.749
700091,Stolec (STO) pipistrelle colony,Pipistrellus_pipistrellus,not searched,not searched,24,,2007,sztencelbogdanowicz2012,"Stolec, Poland [50°35′22.5″N, 16°53′00.0″E]",sztencelbogdanowicz2012,50.59,16.883
700092,Suaq Balimbing orangutans,Pongo_abelii,not searched,not searched,200,"""In the last 20 years we have identified more than 200 orangutans at Suaq""",,suaq.org/research,"Suaq Balimbing monitoring station, Sumatra, Indonesia",schupplivanschaik2019,3.542,97.464
700093,T-type killer whales,Orcinus_orca,not searched,Orcinus_orca,not searched,not searched,not searched,not searched,Salish Sea,not searched,48.33,-123.141
700094,Tank Farm cacique colony,Cacicus_cela_vitellinus,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"Tank Farm, Panama",trainer1989,8.956,-79.616
700095,Taunton bowerbirds,Chlamydera_maculata,not searched,not searched,not searched,not searched,not searched,not searched,"Taunton National Park, Queensland, Australia",madden2004,-23.521,149.219
700096,TT-QQ West dialect ravens,Corvus_corax,not searched,not searched,46,46 known breeding pairs total in region,,enggist2002,"""south of Bern, Switzerland (46º57'N, 7º30'E)""",enggist2002,46.948,7.447
700097,Tuanan orangutans,Pongo_pygmaeus_wurmbi,not searched,not searched,not searched,not searched,not searched,not searched,"Stasiun Penelitian Orangutan Tuanan, Central Kalimantan, Indonesia",,-2.051,114.436
700098,UCSD dark-eyed juncos,Junco_hyemalis,not searched,not searched,70,about 70 males in total population,,newman2008,University of California San Diego,newman2008,32.88,-117.234
700099,University of Washington crows,Corvus_brachyrhynchos,not searched,not searched,not searched,"""(during the course of our research, the crow population in Seattle has remained high [38]; and more recently fluctuated between 93.4 crows per party-hour in 2005 and 80.7 crows per partyhour in 2009)."" (Cornell et al. 2012)",not searched,not searched,"University of Washington, Seattle",cornell2012,47.657,-122.307
700100,Wollomombi Falls shrike-tits,Falcunculus_frontatus,not searched,not searched,not searched,not searched,not searched,not searched,"Wollomombi Falls, New South Wales",noske2003,-30.532,152.033
700101,Wyoming elk group,Cervus_canadensis,not searched,not searched,not searched,not searched,not searched,not searched,"Yellowstone National Park, Wyoming",nelsonreinier2023,44.598,-110.561
