species_id,common_name,GBIF,canonicalName,Genus,Family,Ordr,Class,Phylum,primary_social_unit,unit_evidence,unit_source,IUCN
Sapajus_libidinosus,bearded capuchin,7785578,Sapajus libidinosus,Sapajus,Cebidae,Primates,Mammalia,Chordata,not searched,not searched,not searched,NT
Rhinolophus_monoceros,Formosan lesser horseshoe bat,2432646,Rhinolophus monoceros,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,Chordata,not searched,not searched,not searched,NA
Hipposideros_larvatus,intermediate leaf-nosed bat,5218600,Hipposideros larvatus,Hipposideros,Hipposideridae,Chiroptera,Mammalia,Chordata,not searched,not searched,not searched,LC
Ploceus_bicolor_stictifrons,forest weaver,6089044,Ploceus bicolor stictifrons,Ploceus,Ploceidae,Passeriformes,Aves,Chordata,not searched,not searched,not searched,LC
Gorilla_beringei_beringei,mountain gorilla,4267319,Gorilla beringei beringei,Gorilla,Hominidae,Primates,Mammalia,Chordata,group,"""Despite large variation in ecological conditions, the basic social structure of gorilla groups is consistent across all localities, with groups composed of an average of ten individuals with at least one adult male (silverback), several adult females and offspring [46,54].""",robbins2016,EN
Gorilla_gorilla_gorilla,western gorilla,4267318,Gorilla gorilla gorilla,Gorilla,Hominidae,Primates,Mammalia,Chordata,group,"""Despite large variation in ecological conditions, the basic social structure of gorilla groups is consistent across all localities, with groups composed of an average of ten individuals with at least one adult male (silverback), several adult females and offspring [46,54].""",robbins2016,CR
Gyps_fulvus,Eurasian griffon vulture,2480389,Gyps fulvus,Gyps,Accipitridae,Accipitriformes,Aves,Chordata,not searched,not searched,not searched,LC
Pan_paniscus,bonobos,5219533,Pan paniscus,Pan,Hominidae,Primates,Mammalia,Chordata,group,"""multimale - multifemale, fission-fusion communities"" (coded as individual in original Prox & Farine paper, have decided group is a better fit here)",GBIF,EN
Apis_mellifera,honey bees,1341976,Apis mellifera,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,group,colonies,dong2023,NA
Plocepasser_mahali,White-browed Sparrow-Weaver,2492362,Plocepasser mahali,Plocepasser,Passeridae,Passeriformes,Aves,Chordata,group,"""these birds are cooperative breeders living in groups of 2 to 14 individuals (mostly kin), occupying year-round territories for up to a decade ([Cram et al. 2025; Collias & Collias 1978])"" (Tello-Ramos et al. 2024)",telloramos2024,LC
Macaca_fuscata,Japanese macaques,2436608,Macaca fuscata,Macaca,Cercopithecidae,Primates,Mammalia,Chordata,group,"""Groups ofJapanese Macaques are multimale — multifemale, with resident lineages of female kin and males more than five years old emigrating from natal groups and entering nearby or even distant groups."" (GBIF)",GBIF,LC
Cyanistes_caeruleus,blue tits,2487879,Cyanistes caeruleus,Cyanistes,Paridae,Passeriformes,Aves,Chordata,not searched,not searched,not searched,LC
